35,35
195,35
395,35
505,35
705,35
875,35
35,165
195,165
305,165
395,165
505,165
605,165
705,165
875,165
35,275
195,275
305,275
305,265
395,275
395,265
505,275
505,265
605,275
605,265
705,275
875,275
195,475
305,475
605,475
705,475
305,545
395,545
505,545
605,545
35,605
195,605
305,605
395,605
505,605
605,605
705,605
875,605
35,715
195,715
305,715
395,715
505,715
605,715
705,715
875,715
35,805
395,805
505,805
875,805
455,605
305,375
395,375
505,375
605,375
305,435
365,435
425,435
485,435
545,435
605,435
