10,10,420,10
480,10,420,10
10,10,10,290
50,50,120,10
170,50,10,100
170,140,-120,10
50,140,10,-90
220,50,150,10
370,50,10,100
370,140,-150,10
220,140,10,-90
420,10,10,140
420,140,60,10
480,150,10,-140
530,50,150,10
680,50,10,100
680,140,-150,10
530,140,10,-90
730,50,120,10
850,50,10,100
850,140,-120,10
730,140,10,-90
900,10,10,290
50,190,120,10
170,190,10,70
170,250,-120,10
50,250,10,-60
220,190,60,10
220,190,10,260
220,450,70,10
280,190,10,110
280,450,10,-90
280,350,90,10
280,290,90,10
370,290,10,70
330,190,250,10
330,190,10,60
330,250,90,10
420,250,10,100
420,350,70,10
480,350,10,-100
480,250,110,10
580,250,10,-60
630,190,60,10
680,190,10,260
630,190,10,110
630,290,-90,10
540,290,10,70
540,350,90,10
630,350,10,100
630,450,60,10
730,190,120,10
850,190,10,60
860,250,-120,10
730,260,10,-60
10,300,170,10
910,300,-180,10
730,300,10,120
730,410,180,10
730,460,180,10
170,300,10,120
10,410,170,10
10,460,170,10
170,460,10,120
730,460,10,120
10,580,170,10
730,580,180,10
10,580,10,250
330,460,250,10
330,460,10,60
330,520,90,10
420,520,10,60
420,580,70,10
480,580,10,-60
480,520,110,10
580,520,10,-60
330,630,250,10
330,630,10,60
330,690,90,10
420,690,10,90
420,780,70,10
480,780,10,-90
480,690,110,10
580,690,10,-60
10,830,890,10
220,500,70,10
220,500,10,90
280,500,10,90
220,580,70,10
330,580,50,10
330,570,50,10
630,500,60,10
630,500,10,90
680,500,10,90
630,580,60,10
530,580,50,10
530,570,50,10
900,580,10,260
60,630,120,10
60,630,10,70
60,690,120,10
170,630,10,70
730,630,120,10
730,630,10,70
730,690,120,10
840,630,10,70
220,630,60,10
220,630,10,70
280,630,10,110
280,740,100,10
370,740,10,50
370,780,-310,10
60,780,10,-40
60,740,170,10
220,740,10,-50
630,630,60,10
630,630,10,110
640,740,-110,10
530,740,10,50
530,780,320,10
840,780,10,-40
840,740,-150,10
680,750,10,-110
330,395,260,10
330,395,10,30
330,415,260,10
580,415,10,-20
