35,35
75,35
115,35
155,35
195,35
235,35
275,35
315,35
355,35
395,35
505,35
545,35
585,35
625,35
665,35
705,35
745,35
790,35
830,35
875,35
35,75
35,115
35,165
35,205
35,240
35,275
35,645
35,675
35,755
875,645
875,675
875,755
875,75
875,115
875,165
875,205
875,240
875,275
835,275
790,275
745,275
35,275
75,275
115,275
155,275
195,75
195,115
195,205
195,240
195,275
195,315
195,355
195,395
195,435
195,475
195,515
195,560
195,645
195,680
195,715
395,75
395,115
505,75
505,115
705,75
705,115
875,75
875,115
75,165
115,165
155,165
195,165
235,165
275,165
315,165
355,165
395,165
435,165
470,165
505,165
545,165
585,165
625,165
665,165
705,165
745,165
790,165
830,165
875,165
35,805
75,805
115,805
155,805
195,805
235,805
275,805
315,805
355,805
395,805
435,805
470,805
505,805
545,805
585,805
625,805
665,805
705,805
745,805
790,805
830,805
875,805
35,605
75,605
115,605
155,605
195,605
235,605
275,605
305,605
350,605
395,605
435,605
470,605
505,605
545,605
585,605
625,605
665,605
705,605
745,605
790,605
830,605
875,605
35,715
75,715
115,715
155,715
195,715
305,715
350,715
395,715
505,715
555,715
605,715
705,715
745,715
790,715
830,715
875,715
705,75
705,115
705,205
705,240
705,275
705,315
705,355
705,395
705,435
705,475
705,515
705,560
705,645
705,680
705,715
605,645
605,680
305,645
305,680
